"Site name","Type of site","Registration"
"16WMPO.com","Imposter site","Scottsdale, Ariz. **"
"24wpn.com","Fake news","Veles, Macedonia"
"ABCNews.com.co","Imposter site","Phoenix, Ariz."
"actualidadpanamericana.com","Parody site","Scottsdale, Ariz. **"
"AmericanPoliticNews.co","Fake news","Came up as available for use"
"AmericanPresident.co","Fake news","Tblisi, Georgia"
"AMPosts.com","Fake news","Chesterbrook, Pa.^"
"ANews24.org/","Fake news","Panama, Pa. *"
"AngryPatriotMovement.com","Fake news","Scottsdale, Ariz. **"
"Anonjekloy.tk","Fake news","Amsterdam, Netherlands"
"AssociatedMediaCoverage.com","Parody site","Scottsdale, Ariz. **"
"Aurora-News.us","Imposter site","Santiago, Chile"
"BB4SP.com","Fake news","Midwest City, Okla."
"BeforeItsNews.com","Fake news","Scottsdale, Ariz. **"
"BlackInsuranceNews.com","Some fake stories","Ridgefield Park, N.J."
"BostonTribune.com","Parody site","Scottsdale, Ariz. **"
"BuzzFeedUSA.com","Fake news","Scottsdale, Ariz. **"
"CannaSOS.com","Some fake stories","Scottsdale, Ariz. **"
"Channel18News.com","Imposter site","Scottsdale, Ariz. **"
"ChristianTimesNewspaper.com","Imposter site","Scottsdale, Ariz. **"
"ChristianToday.info","Fake news","Scottsdale, Ariz. **"
"CivicTribune.com","Fake news","Scottsdale, Ariz. **"
"CivicTribune.com","Imposter site","Scottsdale, Ariz. **"
"ClashDaily.com","Fake news","Scottsdale, Ariz. **"
"CNNews3.com","Imposter site","Scottsdale, Ariz. **"
"Coed.com","Some fake stories","New York, N.Y."
"ConservativeDailyPost.com","Fake news","Panama, Pa. *"
"ConservativeFlashNews.com","Fake news","Panama, Pa.*"
"ConservativeSpirit.com","Fake news","Chesterbrook, Pa.^"
"DailyInfoBox.com","Fake news","Panama, Pa.*"
"DailyNews10.com","Imposter site","Scottsdale, Ariz. **"
"DailyNews5.com","Imposter site","Scottsdale, Ariz. **"
"DailyNewsPosts.info","Fake news","Chesterbrook, Pa ^"
"DailySnark.com","Parody site","Scottsdale, Ariz. **"
"DailySurge.com","Fake news","Alexandria, Va."
"DailyUSAUpdate.com","Fake news","Scottsdale, Ariz. **"
"DamnLeaks.com","Fake news","Colorado Springs, Colo. "
"DepartedMedia.com","Fake news","Chesterbrook, Pa.^"
"Disclose.tv","Fake news","Passau, Germany"
"DIYHours.net","Fake news","Panama, Pa.*"
